Name,GP,FG_ATT,C&S_3PT_ATT,C&S_3PT_G_ATT,C&S_3PT%,OTD_ATT,OTD_PPS,Height (Inches),Wingspan (Inches),FT%,Age,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14
Kay Felder,35,612,65,52,0.338,215,0.95,5' 8.25'',6' 2.5'',0.848,21,,,,,,,,,,,,,
De Aaron Fox,38,447,48,20,0.229,99,0.72,"6'2""","6'6.5""",0.736,19,,,,,,,,,,,,,
Ty Jerome,37,412,113,61,0.469,106,0.98,"6'4.25""","6'4""",0.736,21,,,,,,,,,,,,,
David Roddy,32,393,64,40,0.422,65,1.08,6' 4.50'',6' 11.50'',0.691,21,,,,,,,,,,,,,
Caleb Houstan,34,279,155,83,0.387,29,0.48,"6'7.5""","6'11""",0.783,19,,,,,,,,,,,,,
GG Jackson,32,461,109,62,0.349,151,0.72,"6'8.25""","6'11.5""",0.677,18,,,,,,,,,,,,,
Taurean Prince,34,427,108,60,0.352,80,0.75,"6'6.5""","6'11.5""",0.774,22,,,,,,,,,,,,,
Nate Wolters,33,497,57,21,0.456,121,1.08,6' 3.5'',6' 3.75'',0.813,22,,,,,,,,,,,,,
Andrew Nembhard,32,310,69,24,0.362,107,1.07,"6'3""","6'5.75""",0.873,22,,,,,,,,,,,,,
Malik Monk,38,561,182,134,0.401,188,0.95,"6'2.25""","6'5""",0.822,19,,,,,,,,,,,,,
Gary Trent Jr.,37,426,214,126,0.402,91,0.82,"6'4.25""","6'8.75""",0.876,19,,,,,,,,,,,,,
Hunter Tyson,34,358,188,125,0.378,44,1.18,"6'7.50""","6'9.75""",0.838,23,,,,,,,,,,,,,
Zach LaVine,37,285,92,44,0.413,60,0.85,"6'4.5""","6'8.25""",0.691,19,,,,,,,,,,,,,
Cade Cunningham,40,776,94,46,0.245,288,0.98,"6'6""","7'0.25""",0.846,19,,,,,,,,,,,,,
Jabari Parker,39,464,83,51,0.313,107,0.88,"6'8""","6' 11.75""",0.748,19,,,,,,,,,,,,,
Malachi Richardson,37,410,116,56,0.353,143,0.9,6' 4.75'',7' 0'',0.72,20,,,,,,,,,,,,,
Troy Brown Jr.,35,321,97,66,0.299,48,0.65,6' 5.75'',"6' 10.25""",0.743,18,,,,,,,,,,,,,
Sergey Karasev,,,,,,,,,,,,,,,,,,,,,,,,
Frank Jackson,36,281,113,68,0.372,42,1.02,6' 2'',6' 7.5'',0.755,19,,,,,,,,,,,,,
Delon Wright,35,322,36,22,0.444,71,0.86,"6'4.25""","6'7.5""",0.836,23,,,,,,,,,,,,,
Sidy Cissoko,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Tillman,,,,,,,,,,,,,,,,,,,,,,,,
James Ennis,33,376,118,46,0.364,51,0.76,"6' 5.75""","6' 11.5""",0.834,22,,,,,,,,,,,,,
TJ Warren,35,639,94,72,0.277,92,0.68,"6'7""","6'10.25""",0.69,20,,,,,,,,,,,,,
Caris LeVert,18,222,49,33,0.449,86,0.6,"6'5.75""","6'10""",0.794,21,,,,,,,,,,,,,
Lorenzo Brown,33,332,44,23,0.273,78,0.67,6' 4'',6' 7'',0.771,22,,,,,,,,,,,,,
MarJon Beauchamp,,,,,,,,,,,,,,,,,,,,,,,,
Jett Howard,29,331,146,91,0.39,97,0.96,"6'8""","6'9""",0.8,19,,,,,,,,,,,,,
Alex Abrines,,,,,,,,,,,,,,,,,,,,,,,,
Rodney Hood,35,409,119,55,0.387,86,1.07,6' 7.25'',6' 8.5'',0.807,21,,,,,,,,,,,,,
Jamal Murray,43,808,114,54,0.447,379,1.16,"6'3.5""","6'6.5""",0.783,19,,,,,,,,,,,,,
Jawun Evans,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Herro,37,402,129,55,0.357,128,0.98,"6'4.5""","6'3.25""",0.935,19,,,,,,,,,,,,,
Skylar Mays,31,344,85,49,0.424,48,1.15,6'3.00'',6'6.00'',0.854,23,,,,,,,,,,,,,
Maurice Harkless,32,419,70,30,0.214,52,0.63,"6'7.25""","7'0""",0.676,19,,,,,,,,,,,,,
CJ Elleby,32,496,153,111,0.373,125,0.74,"6'5.5""","6'7.25""",0.823,20,,,,,,,,,,,,,
Tony Snell,35,334,145,70,0.386,37,1.16,"6'7""","6'11.5""",0.843,21,,,,,,,,,,,,,
Nick Smith Jr,17,203,62,36,0.355,44,0.77,"6'5""","6'8""",0.74,19,,,,,,,,,,,,,
Patrick Baldwin Jr.,11,132,43,35,0.279,31,0.81,6' 9.25'',7' 1.75'',0.743,19,,,,,,,,,,,,,
Joffrey Lauvergne,,,,,,,,,,,,,,,,,,,,,,,,
Ja Morant,33,533,51,21,0.392,119,0.91,"6'2.5""","6'6""",0.813,19,,,,,,,,,,,,,
Franz Wagner,28,258,78,34,0.333,32,0.97,"6'9""","6'11.5""",0.835,19,,,,,,,,,,,,,
Ryan Rollins,34,496,82,35,0.341,181,0.89,"6'2""","6'9.75""",0.802,19,,,,,,,,,,,,,
LaMelo Ball,,,,,,,,,,,,,,,,,,,,,,,,
OG Anunoby,,,,,,,,,,,,,,,,,,,,,,,,
Erick Green,32,548,78,43,0.449,219,0.91,6' 1.5'',6' 5.75'',0.816,22,,,,,,,,,,,,,
Josh Green,30,290,77,30,0.364,40,0.53,"6'4.5""","6'9.75""",0.78,20,,,,,,,,,,,,,
Dillon Brooks,35,423,91,54,0.363,82,1.1,"6'5""","6'6""",0.754,21,,,,,,,,,,,,,
Cason Wallace,32,313,100,49,0.35,85,0.93,"6'2.5""","6'8.5""",0.757,19,,,,,,,,,,,,,
Josh Huestis,36,339,66,44,0.364,55,0.82,"6'6.5""","7'1""",0.627,22,,,,,,,,,,,,,
Jalen Green,,,,,,,,,,,,,,,,,,,,,,,,
Orlando Johnson,30,425,71,48,0.366,159,0.93,"6'5""","6'11.25""",0.698,23,,,,,,,,,,,,,
Chimezie Metu,,,,,,,,,,,,,,,,,,,,,,,,
Evan Fournier,,,,,,,,,,,,,,,,,,,,,,,,
Elie Okobo,,,,,,,,,,,,,,,,,,,,,,,,
Kris Dunn,33,414,53,32,0.34,144,0.8,"6'3""","6'9""",0.695,22,,,,,,,,,,,,,
Kelly Olynyk,,,,,,,,,,,,,,,,,,,,,,,,
Pat Connaughton,,,,,,,,,,,,,,,,,,,,,,,,
Romeo Langford,32,397,66,26,0.258,116,0.84,"6'4.5""","6'11""",0.722,19,,,,,,,,,,,,,
Coby White,35,446,131,72,0.42,153,0.76,"6'3.5""","6'5""",0.8,19,,,,,,,,,,,,,
Archie Goodwin,33,347,49,24,0.265,50,0.76,"6'3.75""","6'9.5""",0.637,18,,,,,,,,,,,,,
Wendell Carter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
Willie Cauley-Stein,,,,,,,,,,,,,,,,,,,,,,,,
Julian Strawther,37,400,142,78,0.437,63,0.9,"6'6""","6'9.25""",0.776,21,,,,,,,,,,,,,
Jaylen Nowell,36,437,85,50,0.494,144,0.81,"6' 3.25""","6' 7.25""",0.779,19,,,,,,,,,,,,,
Norman Powell,36,453,101,68,0.356,63,0.52,"6'3""","6'10.75""",0.751,22,,,,,,,,,,,,,
Ayo Dosunmu,28,428,59,22,0.441,112,0.81,"6'3.5""","6'10.25""",0.783,21,,,,,,,,,,,,,
Dalen Terry,,,,,,,,,,,,,,,,,,,,,,,,
Andrew  Wiggins,35,419,84,51,0.357,101,0.74,"6'7""","7'0""",0.775,19,,,,,,,,,,,,,
Zeke Nnaji,,,,,,,,,,,,,,,,,,,,,,,,
Alperen Sengun,,,,,,,,,,,,,,,,,,,,,,,,
Precious Achiuwa,31,374,36,17,0.306,31,0.68,"6'7.5""","7'0.75""",0.599,21,,,,,,,,,,,,,
Jonah Bolden,,,,,,,,,,,,,,,,,,,,,,,,
Amen Thompson,,,,,,,,,,,,,,,,,,,,,,,,
Michael Porter Jr.,,,,,,,,,,,,,,,,,,,,,,,,
Dario Saric,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Knox,37,442,157,94,0.318,53,1,"6'8""","6'11.5""",0.774,18,,,,,,,,,,,,,
Jarace Walker,36,338,93,43,0.344,49,0.67,"6'6.5""","7'2.5""",0.663,19,,,,,,,,,,,,,
Keita Bates-Diop,34,512,156,101,0.385,69,0.81,"6'7.25""","7'3.25""",0.794,22,,,,,,,,,,,,,
Tim Hardaway Jr.,37,459,157,93,0.414,110,0.72,"6'4.5""","6'7""",0.694,21,,,,,,,,,,,,,
