Name,C&S_3PT_PPS,OTD_PPS,FT%,C&S_3PT_ATT_PG,OTD_ATT_PG,Shot_diet_C&S,Shot_diet_OTD,C&S_Guarded_prop,Height,Length
Kay Felder,1.014,0.95,0.848,1.8571428571428572,6.142857142857143,0.10620915032679738,0.35130718954248363,0.8,68.25,6.25
De Aaron Fox,0.687,0.72,0.736,1.263157894736842,2.6052631578947367,0.10738255033557047,0.2214765100671141,0.4166666666666667,74.0,4.5
Ty Jerome,1.407,0.98,0.736,3.054054054054054,2.864864864864865,0.27427184466019416,0.25728155339805825,0.5398230088495575,76.25,-0.25
David Roddy,1.266,1.08,0.691,2.0,2.03125,0.1628498727735369,0.16539440203562342,0.625,76.5,7.0
Caleb Houstan,1.161,0.48,0.783,4.5588235294117645,0.8529411764705882,0.5555555555555556,0.1039426523297491,0.535483870967742,79.5,3.5
GG Jackson,1.047,0.72,0.677,3.40625,4.71875,0.23644251626898047,0.3275488069414317,0.5688073394495413,80.25,3.25
Taurean Prince,1.056,0.75,0.774,3.176470588235294,2.3529411764705883,0.2529274004683841,0.1873536299765808,0.5555555555555556,78.5,5.0
Nate Wolters,1.368,1.08,0.813,1.7272727272727273,3.6666666666666665,0.11468812877263582,0.24346076458752516,0.3684210526315789,75.5,0.25
Andrew Nembhard,1.0859999999999999,1.07,0.873,2.15625,3.34375,0.22258064516129034,0.34516129032258064,0.34782608695652173,75.0,2.75
Malik Monk,1.203,0.95,0.822,4.7894736842105265,4.947368421052632,0.3244206773618538,0.33511586452762926,0.7362637362637363,74.25,2.75
Gary Trent Jr.,1.206,0.82,0.876,5.783783783783784,2.4594594594594597,0.5023474178403756,0.2136150234741784,0.5887850467289719,76.25,4.5
Hunter Tyson,1.134,1.18,0.838,5.529411764705882,1.2941176470588236,0.5251396648044693,0.12290502793296089,0.6648936170212766,79.5,2.25
Zach LaVine,1.2389999999999999,0.85,0.691,2.4864864864864864,1.6216216216216217,0.32280701754385965,0.21052631578947367,0.4782608695652174,76.5,3.75
Cade Cunningham,0.735,0.98,0.846,2.35,7.2,0.1211340206185567,0.3711340206185567,0.48936170212765956,78.0,6.25
Jabari Parker,0.9390000000000001,0.88,0.748,2.128205128205128,2.7435897435897436,0.1788793103448276,0.23060344827586207,0.6144578313253012,80.0,3.75
Malachi Richardson,1.059,0.9,0.72,3.135135135135135,3.864864864864865,0.28292682926829266,0.348780487804878,0.4827586206896552,76.75,7.25
Troy Brown Jr.,0.897,0.65,0.743,2.7714285714285714,1.3714285714285714,0.30218068535825543,0.14953271028037382,0.6804123711340206,77.75,4.5
Frank Jackson,1.116,1.02,0.755,3.138888888888889,1.1666666666666667,0.40213523131672596,0.1494661921708185,0.6017699115044248,74.0,5.5
Delon Wright,1.332,0.86,0.836,1.0285714285714285,2.0285714285714285,0.11180124223602485,0.2204968944099379,0.6111111111111112,76.25,3.25
James Ennis,1.092,0.76,0.834,3.5757575757575757,1.5454545454545454,0.31382978723404253,0.1356382978723404,0.3898305084745763,77.75,5.75
TJ Warren,0.8310000000000001,0.68,0.69,2.6857142857142855,2.6285714285714286,0.14710485133020346,0.14397496087636932,0.7659574468085106,79.0,3.25
Caris LeVert,1.347,0.6,0.794,2.7222222222222223,4.777777777777778,0.22072072072072071,0.38738738738738737,0.673469387755102,77.75,4.25
Lorenzo Brown,0.8190000000000001,0.67,0.771,1.3333333333333333,2.3636363636363638,0.13253012048192772,0.23493975903614459,0.5227272727272727,76.0,3.0
Jett Howard,1.17,0.96,0.8,5.0344827586206895,3.3448275862068964,0.44108761329305135,0.2930513595166163,0.6232876712328768,80.0,1.0
Rodney Hood,1.161,1.07,0.807,3.4,2.4571428571428573,0.29095354523227385,0.21026894865525672,0.46218487394957986,79.25,1.25
Jamal Murray,1.341,1.16,0.783,2.6511627906976742,8.813953488372093,0.14108910891089108,0.46905940594059403,0.47368421052631576,75.5,3.0
Tyler Herro,1.071,0.98,0.935,3.4864864864864864,3.4594594594594597,0.3208955223880597,0.31840796019900497,0.4263565891472868,76.5,-1.25
Skylar Mays,1.272,1.15,0.854,2.7419354838709675,1.5483870967741935,0.24709302325581395,0.13953488372093023,0.5764705882352941,75.0,3.0
Maurice Harkless,0.642,0.63,0.676,2.1875,1.625,0.16706443914081145,0.12410501193317422,0.42857142857142855,79.25,4.75
CJ Elleby,1.119,0.74,0.823,4.78125,3.90625,0.3084677419354839,0.25201612903225806,0.7254901960784313,77.5,1.75
Tony Snell,1.158,1.16,0.843,4.142857142857143,1.0571428571428572,0.4341317365269461,0.11077844311377245,0.4827586206896552,79.0,4.5
Nick Smith Jr,1.065,0.77,0.74,3.6470588235294117,2.588235294117647,0.3054187192118227,0.21674876847290642,0.5806451612903226,77.0,3.0
Patrick Baldwin Jr.,0.8370000000000001,0.81,0.743,3.909090909090909,2.8181818181818183,0.32575757575757575,0.23484848484848486,0.813953488372093,81.25,4.5
Ja Morant,1.1760000000000002,0.91,0.813,1.5454545454545454,3.606060606060606,0.09568480300187618,0.22326454033771106,0.4117647058823529,74.5,3.5
Franz Wagner,0.9990000000000001,0.97,0.835,2.7857142857142856,1.1428571428571428,0.3023255813953488,0.12403100775193798,0.4358974358974359,81.0,2.5
Ryan Rollins,1.0230000000000001,0.89,0.802,2.411764705882353,5.323529411764706,0.16532258064516128,0.3649193548387097,0.4268292682926829,74.0,7.75
Erick Green,1.347,0.91,0.816,2.4375,6.84375,0.14233576642335766,0.39963503649635035,0.5512820512820513,73.5,4.25
