sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","TO%","%FT","FTA/FGA","%SF","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,6,"Bobby Brown","Houston Rockets",30,18,30,33,1.833,18,11,7,61.1,91.7,0,0,0,0,61.1,0,0,0,,18,11,7,61.1,1
2,21,"Treveon Graham","Charlotte Hornets",27,16,69.6,27,1.688,16,9,7,56.3,84.4,0,0,0,0,56.3,1,0,1,0,15,9,6,60,0.94
3,1,"Lance Stephenson","Indiana Pacers",10,19,29.7,30,1.579,19,10,9,52.6,78.9,0,0,0,0,52.6,1,0,1,0,18,10,8,55.6,0.95
4,9,"Langston Galloway","Sacramento Kings",19,40,46.5,63,1.575,40,22,18,55,78.8,0,0,0,0,55,6,3,3,50,34,19,15,55.9,0.85
5,11,"Anthony Morrow","Chicago Bulls",12,14,50,22,1.571,14,8,6,57.1,78.6,0,0,0,0,57.1,2,2,0,100,12,6,6,50,0.86
6,27,"Nicolas Laprovittola","San Antonio Spurs",18,19,65.5,29,1.526,19,10,9,52.6,76.3,0,0,0,0,52.6,1,1,0,100,18,9,9,50,0.95
7,32,"Tyreke Evans","Sacramento Kings",14,25,35.7,38,1.52,25,13,12,52,76,0,0,0,0,52,2,1,1,50,23,12,11,52.2,0.92
8,22,"Brian Roberts","Charlotte Hornets",41,30,35.3,44,1.467,30,15,15,50,73.3,0,0,0,0,50,3,1,2,33.3,27,14,13,51.9,0.9
9,18,"Omri Casspi","Sacramento Kings",22,21,61.8,30,1.429,21,10,11,47.6,71.4,0,0,0,0,47.6,0,0,0,,21,10,11,47.6,1
10,5,"Pat Connaughton","Portland Trail Blazers",42,34,68,48,1.412,34,16,18,47.1,70.6,0,0,0,0,47.1,1,0,1,0,33,16,17,48.5,0.97
11,15,"Kemba Walker","Charlotte Hornets",79,224,24.3,310,1.384,224,105,119,46.9,69.2,0,0,0,0,46.9,8,5,3,62.5,216,100,116,46.3,0.96
12,55,"Tim Quarterman","Portland Trail Blazers",18,11,52.4,15,1.364,11,5,6,45.5,68.2,0,0,0,0,45.5,0,0,0,,11,5,6,45.5,1
13,2,"Kyrie Irving","Cleveland Cavaliers",90,221,20.8,301,1.362,221,104,117,47.1,67.9,0,0.5,0,0.5,47.1,22,12,10,54.5,199,92,107,46.2,0.9
14,7,"Darren Collison","Sacramento Kings",68,135,30.9,183,1.356,135,64,71,47.4,67.4,0,0.7,0.01,0.7,47.4,17,10,7,58.8,118,54,64,45.8,0.87
15,26,"Spencer Dinwiddie","Brooklyn Nets",59,40,25,54,1.35,40,18,22,45,67.5,0,0,0,0,45,0,0,0,,40,18,22,45,1
