sep=,
"Rank","Jersey #","Player","Team","GP","Poss","%Time","Pts","PPP","FG Att","FG Made","FG Miss","FG%","eFG%","FTA/FGA","+1%","Score%","2 FG Att","2 FG Made","2 FG Miss","2 FG%","3FG Att","3 FG Made","3 FG Miss","3 FG%","3PA/FGA"
1,10,"Gorgui Dieng","Atlanta Hawks",48,20,23.3,33,1.65,20,12,8,60,82.5,0.05,5,60,5,3,2,60,15,9,6,60,0.75
2,23,"Robert Covington","Los Angeles Clippers",25,20,16.5,31,1.55,20,11,9,55,77.5,0,0,55,5,2,3,40,15,9,6,60,0.75
3,23,"Royce ONeale","Utah Jazz",83,35,10.6,54,1.543,35,18,17,51.4,77.1,0,0,51.4,0,0,0,,35,18,17,51.4,1
4,12,"Gary Clark","New Orleans Pelicans",37,12,16.9,18,1.5,12,6,6,50,75,0,0,50,1,0,1,0,11,6,5,54.5,0.92
5,14,"Stanley Johnson","Los Angeles Lakers",48,19,15.8,28,1.474,19,12,7,63.2,73.7,0,0,63.2,13,8,5,61.5,6,4,2,66.7,0.32
6,22,"Isaiah Roby","Oklahoma City Thunder",45,22,19.3,31,1.409,22,11,11,50,70.5,0,0,50,7,2,5,28.6,15,9,6,60,0.68
7,22,"Xavier Moon","Los Angeles Clippers",10,26,68.4,36,1.385,26,17,9,65.4,69.2,0,0,65.4,22,15,7,68.2,4,2,2,50,0.15
7,42,"Al Horford","Boston Celtics",92,13,3.1,18,1.385,13,7,6,53.8,69.2,0,0,53.8,9,3,6,33.3,4,4,0,100,0.31
7,0,"Trevelin Queen","Houston Rockets",10,13,54.2,18,1.385,13,6,7,46.2,69.2,0,0,46.2,0,0,0,,13,6,7,46.2,1
10,12,"Lindy Waters III","Oklahoma City Thunder",25,32,21.8,44,1.375,32,15,17,46.9,68.8,0,0,46.9,2,1,1,50,30,14,16,46.7,0.94
11,17,"Doug McDermott","San Antonio Spurs",51,63,22.5,86,1.365,63,31,32,49.2,66.7,0.03,3.2,49.2,14,9,5,64.3,49,22,27,44.9,0.78
12,55,"Duncan Robinson","Miami Heat",92,172,25.1,230,1.337,172,78,94,45.3,66.6,0.01,0.6,45.3,11,5,6,45.5,161,73,88,45.3,0.94
13,6,"Nickeil Alexander-Walker","Utah Jazz",15,12,33.3,16,1.333,12,6,6,50,62.5,0.08,8.3,50,3,3,0,100,9,3,6,33.3,0.75
14,4,"Isaiah Thomas","Charlotte Hornets",18,38,49.4,50,1.316,38,20,18,52.6,64.5,0.03,2.6,52.6,17,11,6,64.7,21,9,12,42.9,0.55
15,17,"P.J. Tucker","Miami Heat",89,13,5.1,17,1.308,13,6,7,46.2,65.4,0,0,46.2,3,1,2,33.3,10,5,5,50,0.77
16,95,"Juan Toscano-Anderson","Golden State Warriors",87,17,17.5,22,1.294,17,8,9,47.1,64.7,0,0,47.1,4,2,2,50,13,6,7,46.2,0.76
17,22,"Rodney Hood","Los Angeles Clippers",13,14,66.7,18,1.286,14,7,7,50,60.7,0.07,7.1,50,9,4,5,44.4,5,3,2,60,0.36
18,21,"LaMarcus Aldridge","Brooklyn Nets",47,44,20.8,56,1.273,44,27,17,61.4,61.4,0.05,4.5,61.4,44,27,17,61.4,0,0,0,,0
19,11,"Josh Hart","Portland Trail Blazers",13,48,50,61,1.271,48,22,26,45.8,62.5,0.02,2.1,45.8,14,6,8,42.9,34,16,18,47.1,0.71
20,5,"Jevon Carter","Milwaukee Bucks",31,41,52.6,52,1.268,41,22,19,53.7,63.4,0,0,53.7,26,14,12,53.8,15,8,7,53.3,0.37
21,7,"Timothe Luwawu-Cabarrot","Atlanta Hawks",58,23,16.7,28,1.217,23,11,12,47.8,60.9,0,0,47.8,11,5,6,45.5,12,6,6,50,0.52
22,32,"Otto Porter Jr.","Golden State Warriors",82,66,19.9,80,1.212,66,35,31,53,60.6,0,0,53,49,25,24,51,17,10,7,58.8,0.26
23,26,"Jeremy Lamb","Sacramento Kings",17,29,42.6,35,1.207,29,14,15,48.3,58.6,0.03,3.4,48.3,14,8,6,57.1,15,6,9,40,0.52
24,12,"Grayson Allen","Milwaukee Bucks",78,111,24.4,133,1.198,111,47,64,42.3,59.5,0.01,0.9,42.3,17,9,8,52.9,94,38,56,40.4,0.85
25,9,"Davon Reed","Denver Nuggets",48,41,35.7,49,1.195,41,22,19,53.7,59.8,0.02,2.4,53.7,26,17,9,65.4,15,5,10,33.3,0.37
26,20,"John Collins","Atlanta Hawks",59,26,11.2,31,1.192,26,15,11,57.7,59.6,0,0,57.7,22,14,8,63.6,4,1,3,25,0.15
26,8,"Jae'Sean Tate","Houston Rockets",78,26,12.3,31,1.192,26,11,15,42.3,59.6,0,0,42.3,7,2,5,28.6,19,9,10,47.4,0.73
28,0,"Tyrese Haliburton","Indiana Pacers",26,134,74.9,156,1.164,134,59,75,44,58.2,0,0,44,41,21,20,51.2,93,38,55,40.9,0.69
29,11,"Mike Conley","Utah Jazz",78,335,69.4,388,1.158,335,134,201,40,57.9,0,0,40,40,14,26,35,295,120,175,40.7,0.88
30,21,"Matt Thomas","Chicago Bulls",40,59,46.1,68,1.153,59,29,30,49.2,57.6,0,0,49.2,34,19,15,55.9,25,10,15,40,0.42
31,7,"Carmelo Anthony","Los Angeles Lakers",69,156,28.9,175,1.122,156,77,79,49.4,55.4,0.01,1.3,49.4,108,58,50,53.7,48,19,29,39.6,0.31
32,16,"Cedi Osman","Cleveland Cavaliers",67,95,25,106,1.116,95,37,58,38.9,55.3,0.01,1.1,38.9,18,6,12,33.3,77,31,46,40.3,0.81
33,22,"Desmond Bane","Memphis Grizzlies",88,446,53.9,497,1.114,446,192,254,43,55.7,0,0.2,43,190,79,111,41.6,256,113,143,44.1,0.57
34,31,"Seth Curry","Philadelphia 76ers",45,262,61.2,291,1.111,262,128,134,48.9,55.2,0.01,0.8,48.9,170,95,75,55.9,92,33,59,35.9,0.35
35,30,"Stephen Curry","Golden State Warriors",86,697,61.1,772,1.108,697,276,421,39.6,54.8,0.01,1.1,39.6,145,64,81,44.1,552,212,340,38.4,0.79
36,32,"Karl-Anthony Towns","Minnesota Timberwolves",81,75,15.3,83,1.107,75,31,44,41.3,55.3,0,0,41.3,30,10,20,33.3,45,21,24,46.7,0.6
